EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating,ExperienceGap,AvgExperiencePerCompany,AgeGroup,PerformanceCategory,TenureCategory
10,0.6190476190476188,1,3,2,1,3,0,0.8214285714285714,0.5,0.0,0.2714285714285714,0.0,0.0,0.6666666666666667,0.2222222222222222,0,0.2142857142857143,0.6666666666666667,0.225,0.8333333333333333,0.6666666666666667,0.125,0.1111111111111111,0.06666666666666667,0.23529411764705882,0,0.5,0.12121212121212122,0.1125,2,2,1
11,0.6904761904761905,0,3,0,5,13,1,0.07142857142857142,0.5,1.0,0.2714285714285714,0.6666666666666667,0.75,0.6666666666666667,1.0,1,0.0714285714285714,1.0,0.7000000000000001,0.3333333333333333,0.3333333333333333,0.55,0.1111111111111111,0.7333333333333333,0.7647058823529411,0,0.5,0.18181818181818182,0.07777777777777778,3,2,0
12,0.28571428571428564,1,2,0,5,13,2,0.9285714285714285,1.0,0.6666666666666667,0.9857142857142855,0.6666666666666667,0.25,1.0,0.7777777777777777,0,0.8571428571428571,1.0,0.25,0.3333333333333333,0.3333333333333333,0.2,0.38888888888888884,0.4666666666666667,0.4117647058823529,0,1.0,0.06060606060606061,0.03571428571428572,1,0,2
13,0.2619047619047619,1,1,2,5,14,2,0.3214285714285714,0.5,0.6666666666666667,0.9857142857142855,0.6666666666666667,0.0,0.6666666666666667,0.1111111111111111,0,0.0,0.6666666666666667,0.025,1.0,0.6666666666666667,0.025,0.0,0.0,0.0,0,0.5,0.0,0.025,1,2,3
14,0.5714285714285714,1,3,0,1,3,1,0.6428571428571428,0.5,0.6666666666666667,0.38571428571428573,1.0,0.0,0.6666666666666667,0.6666666666666666,1,0.0714285714285714,1.0,0.17500000000000002,0.3333333333333333,0.6666666666666667,0.05,0.1111111111111111,0.13333333333333333,0.11764705882352941,1,0.5,0.15151515151515152,0.02916666666666667,2,2,3
15,0.380952380952381,0,3,2,1,3,2,0.25,0.25,0.3333333333333333,0.9428571428571428,0.6666666666666667,0.25,0.6666666666666667,0.3333333333333333,0,0.0,1.0,0.25,0.3333333333333333,0.6666666666666667,0.125,0.05555555555555555,0.26666666666666666,0.1764705882352941,0,0.5,0.15151515151515152,0.08333333333333334,1,2,1
16,0.49999999999999994,0,0,1,3,6,2,0.07142857142857142,0.5,0.6666666666666667,0.2,1.0,0.25,0.3333333333333333,1.0,0,0.2857142857142857,0.6666666666666667,0.30000000000000004,0.5,0.0,0.2,0.16666666666666666,0.2,0.3529411764705882,0,0.5,0.12121212121212122,0.03333333333333333,2,2,2
17,0.9047619047619047,1,3,1,1,3,2,0.2857142857142857,0.5,0.6666666666666667,0.7285714285714284,0.6666666666666667,0.75,1.0,0.7777777777777777,0,0.0,0.6666666666666667,0.75,0.16666666666666666,0.3333333333333333,0.25,0.38888888888888884,0.06666666666666667,0.058823529411764705,0,0.5,0.6060606060606061,0.10714285714285715,3,2,2
18,0.5238095238095237,0,3,2,1,3,2,0.03571428571428571,0.0,1.0,0.7999999999999998,0.3333333333333333,0.0,1.0,0.0,1,0.6428571428571427,1.0,0.125,0.3333333333333333,0.3333333333333333,0.1,0.1111111111111111,0.13333333333333333,0.1764705882352941,0,1.0,0.030303030303030304,0.125,2,0,1
19,0.21428571428571425,0,3,2,1,3,2,0.2142857142857143,0.5,1.0,0.35714285714285715,0.3333333333333333,0.25,0.0,0.8888888888888888,0,0.5714285714285713,0.0,0.225,0.3333333333333333,0.0,0.17500000000000002,0.3333333333333333,0.0,0.4117647058823529,0,0.5,0.06060606060606061,0.028125,1,2,2
20,0.2619047619047619,1,2,0,5,14,2,0.3214285714285714,0.5,1.0,0.7571428571428571,0.6666666666666667,0.0,0.3333333333333333,0.1111111111111111,0,0.2142857142857143,1.0,0.05,0.3333333333333333,0.6666666666666667,0.05,0.1111111111111111,0.13333333333333333,0.11764705882352941,0,0.5,0.0,0.05,1,2,3
21,0.8333333333333333,1,1,2,1,3,2,0.17857142857142855,0.5,1.0,0.7999999999999998,0.6666666666666667,0.25,1.0,0.2222222222222222,0,0.4285714285714285,1.0,0.47500000000000003,0.6666666666666666,0.6666666666666667,0.05,0.1111111111111111,0.13333333333333333,0.11764705882352941,0,0.5,0.5151515151515151,0.23750000000000002,3,2,3
22,0.4047619047619047,0,1,0,1,15,0,0.03571428571428571,0.75,1.0,0.4428571428571429,0.6666666666666667,0.25,0.0,0.2222222222222222,0,0.0,0.0,0.4,0.3333333333333333,1.0,0.025,0.0,0.0,0.0,0,0.5,0.4545454545454546,0.2,1,2,3
23,0.3333333333333333,1,1,1,1,3,1,0.8214285714285714,0.75,0.0,0.7142857142857142,0.6666666666666667,0.25,1.0,0.1111111111111111,0,0.2857142857142857,1.0,0.25,0.3333333333333333,0.6666666666666667,0.25,0.4444444444444444,0.26666666666666666,0.4117647058823529,0,0.5,0.0,0.25,1,2,2
24,0.380952380952381,0,1,0,1,3,2,0.25,1.0,0.3333333333333333,0.02857142857142858,0.6666666666666667,0.25,0.0,0.3333333333333333,0,0.2142857142857143,0.6666666666666667,0.17500000000000002,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0,0.5,0.21212121212121213,0.05833333333333334,1,2,4
25,0.8095238095238095,1,2,1,5,8,2,0.07142857142857142,0.75,0.6666666666666667,0.01428571428571429,0.3333333333333333,0.75,0.0,0.1111111111111111,0,0.0,0.0,0.8500000000000001,0.5,1.0,0.8500000000000001,0.3333333333333333,0.06666666666666667,0.9411764705882353,0,1.0,0.0,0.8500000000000001,3,0,0
26,0.35714285714285715,1,4,2,1,3,2,0.0,0.75,1.0,0.4714285714285715,0.6666666666666667,0.0,1.0,0.1111111111111111,1,0.1428571428571428,0.6666666666666667,0.25,0.3333333333333333,0.3333333333333333,0.25,0.5,0.4666666666666667,0.47058823529411764,1,0.5,0.0,0.25,1,2,2
27,0.16666666666666669,0,3,2,5,13,2,0.8928571428571428,0.0,0.6666666666666667,0.02857142857142858,0.6666666666666667,0.25,1.0,0.1111111111111111,0,0.8571428571428571,0.3333333333333333,0.15000000000000002,0.8333333333333333,0.3333333333333333,0.15000000000000002,0.2777777777777778,0.06666666666666667,0.23529411764705882,0,1.0,0.0,0.15000000000000002,0,0,2
28,0.6428571428571428,1,5,2,5,14,2,0.03571428571428571,0.25,0.3333333333333333,0.2285714285714286,0.0,0.25,0.6666666666666667,0.0,0,0.1428571428571428,0.0,0.225,0.5,0.6666666666666667,0.2,0.38888888888888884,0.2,0.058823529411764705,0,0.5,0.030303030303030304,0.225,2,2,2
29,0.11904761904761901,1,3,2,1,3,2,0.3214285714285714,0.0,0.0,0.7,1.0,0.0,0.6666666666666667,0.1111111111111111,0,0.4999999999999999,1.0,0.05,0.5,0.6666666666666667,0.05,0.1111111111111111,0.0,0.11764705882352941,0,0.5,0.0,0.05,0,2,3
30,0.6904761904761905,0,1,2,5,13,1,0.9285714285714285,0.25,0.3333333333333333,0.6714285714285713,1.0,0.25,0.6666666666666667,0.4444444444444444,1,0.0714285714285714,1.0,0.2,0.3333333333333333,0.6666666666666667,0.125,0.2222222222222222,0.06666666666666667,0.1764705882352941,1,0.5,0.09090909090909091,0.05,3,2,1
31,0.380952380952381,1,4,2,5,13,2,0.03571428571428571,0.5,1.0,0.42857142857142855,0.6666666666666667,0.25,1.0,0.1111111111111111,0,0.7857142857142857,0.6666666666666667,0.15000000000000002,0.8333333333333333,0.6666666666666667,0.15000000000000002,0.2777777777777778,0.06666666666666667,0.23529411764705882,0,1.0,0.0,0.15000000000000002,1,0,2
32,0.42857142857142855,1,1,2,5,13,0,0.25,0.75,0.0,0.657142857142857,0.3333333333333333,0.5,0.0,0.1111111111111111,0,0.2857142857142857,0.3333333333333333,0.25,0.16666666666666666,0.6666666666666667,0.25,0.38888888888888884,0.0,0.5294117647058824,0,0.5,0.0,0.25,2,2,2
33,0.8095238095238095,1,3,1,1,3,0,0.6428571428571428,0.75,1.0,0.1571428571428572,0.6666666666666667,0.0,1.0,0.0,0,0.4999999999999999,0.0,0.125,0.5,0.6666666666666667,0.1,0.16666666666666666,0.06666666666666667,0.11764705882352941,0,0.5,0.030303030303030304,0.125,3,2,1
34,0.19047619047619052,0,1,0,1,3,1,0.0,0.25,0.0,0.5857142857142856,0.0,0.0,1.0,0.3333333333333333,0,0.2142857142857143,0.0,0.125,0.3333333333333333,0.6666666666666667,0.05,0.1111111111111111,0.13333333333333333,0.0,0,0.5,0.09090909090909091,0.04166666666666667,1,2,3
35,0.2619047619047619,0,3,1,1,3,2,0.9285714285714285,0.5,0.3333333333333333,0.5142857142857142,0.6666666666666667,0.25,0.6666666666666667,0.4444444444444444,0,0.0714285714285714,0.0,0.275,0.5,0.3333333333333333,0.2,0.38888888888888884,0.06666666666666667,0.058823529411764705,0,0.5,0.09090909090909091,0.06875,1,2,2
36,0.19047619047619052,1,5,2,5,13,2,0.25,0.5,1.0,0.11428571428571427,0.3333333333333333,0.25,0.0,0.6666666666666666,0,0.4285714285714285,0.6666666666666667,0.15000000000000002,0.3333333333333333,0.3333333333333333,0.1,0.16666666666666666,0.06666666666666667,0.11764705882352941,1,0.5,0.06060606060606061,0.025,1,2,1
37,0.380952380952381,0,1,2,1,3,2,0.0,0.75,0.3333333333333333,0.5999999999999999,1.0,0.0,1.0,0.2222222222222222,0,0.3571428571428571,0.6666666666666667,0.25,0.3333333333333333,0.6666666666666667,0.1,0.1111111111111111,0.06666666666666667,0.1764705882352941,0,0.5,0.18181818181818182,0.125,1,2,1
38,0.857142857142857,0,3,0,1,3,2,0.6428571428571428,0.75,1.0,0.9285714285714286,0.6666666666666667,0.25,0.0,1.0,1,0.0,0.3333333333333333,0.225,0.6666666666666666,0.6666666666666667,0.125,0.16666666666666666,0.06666666666666667,0.23529411764705882,0,0.5,0.12121212121212122,0.025,3,2,1
39,0.21428571428571425,1,2,1,5,13,1,0.25,0.0,0.6666666666666667,0.7714285714285714,0.6666666666666667,0.25,1.0,0.0,0,0.5714285714285713,0.3333333333333333,0.125,0.5,0.6666666666666667,0.1,0.1111111111111111,0.06666666666666667,0.058823529411764705,0,0.5,0.030303030303030304,0.125,1,2,1
40,0.4523809523809524,0,1,0,1,3,2,0.3214285714285714,0.0,1.0,0.7428571428571429,0.6666666666666667,0.0,0.0,0.0,1,0.1428571428571428,0.3333333333333333,0.15000000000000002,0.5,0.3333333333333333,0.125,0.16666666666666666,0.26666666666666666,0.1764705882352941,0,0.5,0.030303030303030304,0.15000000000000002,2,2,1
41,0.4761904761904761,0,1,2,1,3,1,0.03571428571428571,0.75,0.0,0.6428571428571428,1.0,0.25,0.0,0.6666666666666666,1,0.0714285714285714,1.0,0.42500000000000004,0.3333333333333333,0.6666666666666667,0.375,0.38888888888888884,0.26666666666666666,0.7058823529411764,0,0.5,0.06060606060606061,0.07083333333333335,2,2,0
42,0.380952380952381,0,3,2,1,3,2,0.03571428571428571,0.75,0.6666666666666667,0.7999999999999998,0.3333333333333333,0.0,0.0,0.1111111111111111,0,0.0,0.6666666666666667,0.15000000000000002,0.5,0.6666666666666667,0.15000000000000002,0.2777777777777778,0.06666666666666667,0.1764705882352941,0,0.5,0.0,0.15000000000000002,1,2,2
43,0.4047619047619047,0,1,1,5,14,2,0.25,0.75,0.0,0.5999999999999999,0.6666666666666667,0.0,1.0,0.1111111111111111,0,0.3571428571428571,0.3333333333333333,0.07500000000000001,0.16666666666666666,0.3333333333333333,0.07500000000000001,0.1111111111111111,0.0,0.11764705882352941,0,0.5,0.0,0.07500000000000001,1,2,1
44,0.5238095238095237,0,3,1,1,3,1,0.03571428571428571,0.25,0.6666666666666667,0.11428571428571427,1.0,0.25,0.3333333333333333,0.1111111111111111,0,0.9285714285714285,1.0,0.2,0.3333333333333333,0.6666666666666667,0.2,0.38888888888888884,0.2,0.4117647058823529,0,1.0,0.0,0.2,2,0,2
45,0.380952380952381,0,1,1,5,13,2,0.25,0.25,0.6666666666666667,0.8999999999999999,0.6666666666666667,0.25,0.0,0.5555555555555556,0,0.4285714285714285,0.3333333333333333,0.15000000000000002,0.16666666666666666,0.6666666666666667,0.07500000000000001,0.1111111111111111,0.06666666666666667,0.11764705882352941,0,0.5,0.09090909090909091,0.03,1,2,1
46,0.14285714285714285,1,1,0,1,15,0,0.2857142857142857,0.5,0.6666666666666667,0.42857142857142855,0.3333333333333333,0.0,0.3333333333333333,0.1111111111111111,0,0.0,0.6666666666666667,0.025,0.6666666666666666,0.6666666666666667,0.025,0.0,0.0,0.0,0,0.5,0.0,0.025,0,2,3
47,0.8095238095238095,0,1,1,1,15,2,0.35714285714285715,0.75,1.0,0.7428571428571429,0.6666666666666667,0.25,0.6666666666666667,0.8888888888888888,0,0.6428571428571427,0.3333333333333333,0.225,0.5,0.6666666666666667,0.125,0.1111111111111111,0.06666666666666667,0.23529411764705882,0,1.0,0.12121212121212122,0.028125,3,0,1
48,0.7619047619047619,1,3,1,1,3,2,0.03571428571428571,0.5,0.6666666666666667,0.4857142857142857,0.6666666666666667,0.75,0.6666666666666667,0.5555555555555556,0,0.3571428571428571,1.0,0.75,0.5,0.6666666666666667,0.1,0.16666666666666666,0.0,0.1764705882352941,0,0.5,0.7878787878787878,0.15000000000000002,3,2,1
49,0.2619047619047619,0,1,1,1,3,2,0.0,0.25,0.3333333333333333,0.08571428571428569,0.3333333333333333,0.0,0.0,0.1111111111111111,1,0.0,1.0,0.025,0.16666666666666666,0.6666666666666667,0.025,0.0,0.0,0.0,1,0.5,0.0,0.025,1,2,3
50,0.35714285714285715,1,3,1,1,3,2,0.2142857142857143,0.5,0.6666666666666667,0.2714285714285714,0.6666666666666667,0.5,0.6666666666666667,0.0,0,0.0,1.0,0.35000000000000003,0.5,1.0,0.325,0.5,0.2,0.4117647058823529,0,0.5,0.030303030303030304,0.35000000000000003,1,2,0
51,0.35714285714285715,0,2,2,5,13,2,0.5357142857142857,0.5,0.0,0.5571428571428572,0.6666666666666667,0.25,0.0,0.5555555555555556,0,0.2857142857142857,0.6666666666666667,0.15000000000000002,0.5,0.6666666666666667,0.07500000000000001,0.1111111111111111,0.0,0.11764705882352941,1,0.5,0.09090909090909091,0.03,1,2,1
52,0.6904761904761905,0,4,1,1,3,2,0.03571428571428571,0.25,0.6666666666666667,0.04285714285714287,0.6666666666666667,0.75,1.0,0.1111111111111111,1,0.0,0.6666666666666667,0.65,0.5,0.3333333333333333,0.65,0.7777777777777777,0.2,0.0,0,0.5,0.0,0.65,3,2,0
53,0.42857142857142855,0,4,1,1,3,2,0.0,0.5,0.6666666666666667,0.07142857142857145,0.6666666666666667,0.25,0.3333333333333333,0.0,0,0.2857142857142857,0.0,0.25,0.3333333333333333,0.6666666666666667,0.225,0.38888888888888884,0.0,0.29411764705882354,0,0.5,0.030303030303030304,0.25,2,2,2
54,0.2619047619047619,1,1,1,1,15,2,0.7857142857142857,0.25,0.6666666666666667,0.7285714285714284,1.0,0.0,0.6666666666666667,0.1111111111111111,0,0.9285714285714285,0.6666666666666667,0.25,0.5,0.6666666666666667,0.25,0.38888888888888884,0.0,0.4117647058823529,0,1.0,0.0,0.25,1,0,2
55,0.4047619047619047,0,1,2,1,15,2,0.0,0.75,1.0,0.14285714285714285,1.0,0.0,0.6666666666666667,0.3333333333333333,0,0.1428571428571428,0.6666666666666667,0.17500000000000002,0.0,0.6666666666666667,0.05,0.1111111111111111,0.13333333333333333,0.11764705882352941,0,0.5,0.15151515151515152,0.05833333333333334,1,2,3
56,0.5714285714285714,0,1,1,1,3,2,0.0,0.25,1.0,0.18571428571428567,0.3333333333333333,0.25,1.0,1.0,1,0.1428571428571428,1.0,0.2,0.6666666666666666,0.6666666666666667,0.1,0.16666666666666666,0.0,0.11764705882352941,0,0.5,0.12121212121212122,0.022222222222222223,2,2,1
57,0.23809523809523808,1,3,2,1,3,2,0.03571428571428571,0.75,0.6666666666666667,0.2285714285714286,0.6666666666666667,0.0,0.6666666666666667,0.6666666666666666,0,0.4285714285714285,1.0,0.125,0.5,0.3333333333333333,0.05,0.1111111111111111,0.13333333333333333,0.058823529411764705,1,0.5,0.09090909090909091,0.020833333333333336,1,2,3
58,0.42857142857142855,1,0,1,3,6,2,0.42857142857142855,0.5,0.6666666666666667,0.08571428571428569,0.6666666666666667,0.0,0.3333333333333333,0.4444444444444444,0,0.1428571428571428,0.3333333333333333,0.2,0.3333333333333333,0.6666666666666667,0.125,0.1111111111111111,0.0,0.23529411764705882,0,0.5,0.09090909090909091,0.05,2,2,1
59,0.5238095238095237,1,3,2,1,3,1,0.5357142857142857,0.75,0.0,0.3,0.3333333333333333,0.25,0.6666666666666667,0.6666666666666666,0,0.2142857142857143,1.0,0.25,1.0,0.6666666666666667,0.025,0.0,0.0,0.0,0,0.5,0.2727272727272727,0.04166666666666667,2,2,3
60,0.28571428571428564,0,3,2,1,3,2,0.03571428571428571,0.5,0.6666666666666667,0.31428571428571433,0.3333333333333333,0.25,1.0,0.5555555555555556,1,0.9285714285714285,0.3333333333333333,0.30000000000000004,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0,1.0,0.36363636363636365,0.06,1,0,4
61,0.6428571428571428,0,1,2,1,3,2,0.03571428571428571,0.5,0.3333333333333333,0.9285714285714286,0.3333333333333333,0.0,0.6666666666666667,0.1111111111111111,0,0.2142857142857143,1.0,0.025,0.5,0.6666666666666667,0.025,0.0,0.0,0.0,0,0.5,0.0,0.025,2,2,3
62,0.5714285714285714,1,1,1,1,3,2,0.9999999999999999,0.5,0.3333333333333333,0.9714285714285713,0.6666666666666667,0.25,0.3333333333333333,0.1111111111111111,0,0.1428571428571428,1.0,0.25,0.5,0.3333333333333333,0.225,0.4444444444444444,0.4666666666666667,0.47058823529411764,0,0.5,0.030303030303030304,0.25,2,2,2
63,0.4761904761904761,1,1,0,1,3,1,0.39285714285714285,0.5,0.0,0.21428571428571425,0.3333333333333333,0.25,0.0,0.2222222222222222,0,0.2857142857142857,0.6666666666666667,0.325,0.5,0.3333333333333333,0.1,0.16666666666666666,0.06666666666666667,0.11764705882352941,0,0.5,0.2727272727272727,0.1625,2,2,1
64,0.7380952380952379,0,2,1,5,13,2,0.35714285714285715,0.5,0.6666666666666667,0.18571428571428567,0.6666666666666667,0.5,1.0,0.1111111111111111,0,0.4999999999999999,0.0,0.225,0.5,1.0,0.225,0.4444444444444444,0.4666666666666667,0.4117647058823529,1,0.5,0.0,0.225,3,2,2
65,0.8809523809523809,1,3,2,5,13,2,0.03571428571428571,0.0,0.6666666666666667,0.10000000000000003,0.6666666666666667,0.25,1.0,0.4444444444444444,0,0.3571428571428571,0.6666666666666667,0.30000000000000004,0.5,0.3333333333333333,0.225,0.38888888888888884,0.4666666666666667,0.1764705882352941,1,0.5,0.09090909090909091,0.07500000000000001,3,2,2
66,0.5952380952380951,1,1,1,1,3,2,0.4642857142857143,0.25,0.3333333333333333,0.9142857142857141,0.6666666666666667,0.75,0.0,0.6666666666666666,0,0.9285714285714285,0.6666666666666667,0.55,0.5,0.6666666666666667,0.1,0.05555555555555555,0.06666666666666667,0.0,0,0.5,0.5454545454545454,0.09166666666666667,2,2,1
67,0.21428571428571425,1,5,0,1,3,2,0.14285714285714285,0.0,0.6666666666666667,0.17142857142857143,0.3333333333333333,0.5,1.0,0.1111111111111111,1,0.3571428571428571,0.3333333333333333,0.225,0.5,0.6666666666666667,0.225,0.4444444444444444,0.0,0.47058823529411764,0,0.5,0.0,0.225,1,2,2
68,0.4047619047619047,1,4,2,1,3,2,0.2142857142857143,0.5,0.6666666666666667,0.4142857142857143,0.6666666666666667,0.5,0.6666666666666667,0.3333333333333333,0,0.7142857142857143,0.3333333333333333,0.42500000000000004,0.5,1.0,0.2,0.2777777777777778,0.06666666666666667,0.3529411764705882,0,1.0,0.2727272727272727,0.1416666666666667,1,0,2
69,0.23809523809523808,0,2,1,5,13,2,0.03571428571428571,0.75,0.3333333333333333,0.7285714285714284,0.6666666666666667,0.25,0.3333333333333333,0.1111111111111111,1,0.6428571428571427,0.0,0.2,0.3333333333333333,0.6666666666666667,0.2,0.38888888888888884,0.4666666666666667,0.29411764705882354,0,0.5,0.0,0.2,1,2,2
70,0.19047619047619052,0,3,1,1,3,1,0.14285714285714285,0.25,0.6666666666666667,0.8285714285714285,0.3333333333333333,0.0,0.6666666666666667,0.1111111111111111,1,0.2142857142857143,0.0,0.2,0.3333333333333333,0.6666666666666667,0.2,0.38888888888888884,0.06666666666666667,0.4117647058823529,1,0.5,0.0,0.2,1,2,2
71,0.21428571428571425,1,3,1,1,3,0,0.07142857142857142,0.5,1.0,0.28571428571428575,0.6666666666666667,0.0,1.0,0.1111111111111111,0,0.0,0.6666666666666667,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,1,2,4
72,0.7857142857142856,0,2,1,5,8,2,0.8928571428571428,0.75,0.0,0.5142857142857142,0.6666666666666667,0.75,0.6666666666666667,0.2222222222222222,0,0.2142857142857143,0.6666666666666667,0.7250000000000001,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.26666666666666666,1.0,0,0.5,0.2727272727272727,0.36250000000000004,3,2,0
73,0.6190476190476188,1,3,2,1,3,2,0.10714285714285714,0.5,1.0,0.28571428571428575,0.6666666666666667,0.25,0.3333333333333333,1.0,0,0.0714285714285714,1.0,0.25,0.3333333333333333,0.3333333333333333,0.125,0.1111111111111111,0.13333333333333333,0.1764705882352941,0,0.5,0.15151515151515152,0.02777777777777778,2,2,1
74,0.16666666666666669,1,3,2,1,3,2,0.03571428571428571,0.0,0.0,0.49999999999999994,1.0,0.0,0.0,0.7777777777777777,0,0.1428571428571428,0.6666666666666667,0.15000000000000002,0.5,0.3333333333333333,0.1,0.16666666666666666,0.0,0.058823529411764705,0,0.5,0.06060606060606061,0.02142857142857143,0,2,1
75,0.4047619047619047,0,3,2,1,15,2,0.9285714285714285,0.0,0.6666666666666667,0.32857142857142857,0.3333333333333333,0.0,0.0,0.1111111111111111,0,0.0,1.0,0.15000000000000002,0.5,0.3333333333333333,0.15000000000000002,0.2777777777777778,0.06666666666666667,0.058823529411764705,0,0.5,0.0,0.15000000000000002,1,2,2
76,0.42857142857142855,1,1,1,5,13,2,0.0,0.25,0.3333333333333333,0.3714285714285714,0.6666666666666667,0.25,1.0,0.1111111111111111,1,0.2142857142857143,1.0,0.45,0.16666666666666666,0.3333333333333333,0.45,0.7777777777777777,0.26666666666666666,0.6470588235294118,0,0.5,0.0,0.45,2,2,0
77,0.8333333333333333,0,2,1,5,13,2,0.2142857142857143,0.25,0.0,0.6857142857142857,0.3333333333333333,0.5,1.0,0.7777777777777777,1,0.4999999999999999,1.0,0.875,0.5,0.6666666666666667,0.125,0.1111111111111111,0.0,0.23529411764705882,0,0.5,0.9090909090909092,0.125,3,2,1
78,0.6428571428571428,1,2,0,5,13,2,0.2857142857142857,0.5,1.0,0.6285714285714286,0.6666666666666667,0.5,0.0,0.4444444444444444,1,0.0714285714285714,0.6666666666666667,0.45,0.3333333333333333,0.6666666666666667,0.125,0.2222222222222222,0.0,0.11764705882352941,0,0.5,0.3939393939393939,0.1125,2,2,1
